No.,Brand,ItemID,Picture,Name,Season,Category,Color,Pattern,ImagePath
1,SandyLiang,SL-26SS-001,,GINGKO DRESS IN BUNNY GIFT WRAP,26SS,Dress,Beige,Graphic Print,"""C:\Users\tc012\OneDrive - University College London\桌面\Dataset Picture\SL-26SS-001.jpg"""
2,SandyLiang,SL-26SS-002,,GINGKO DRESS IN TULIP,26SS,Dress,Pink,Z,
3,SandyLiang,SL-26SS-003,,BRIAR JACKET IN BLACK,26SS,Jacket,Black,Solid,
4,SandyLiang,SL-26SS-004,,BRIAR JACKET IN GREY,26SS,Jacket,Grey,Solid,
5,SandyLiang,SL-26SS-005,,MAKI PANT IN BLACK,26SS,Trousers,Black,Solid,
6,SandyLiang,SL-26SS-006,,MAKI PANT IN GREY,26SS,Trousers,Grey,Solid,
7,SandyLiang,SL-26SS-007,,DASHI TANK IN TULIP,26SS,Top ,Pink ,Floral,
8,SandyLiang,SL-26SS-008,,DASHI TANK IN BLUE,26SS,Top ,Blue,Graphic Print,
9,SandyLiang,SL-26SS-009,,ARLO CAPRIS IN TULIP,26SS,Trousers,Pink,Floral,
10,SandyLiang,SL-26SS-010,,ARLO CAPRIS IN BLUE,26SS,Trousers,Blue,Graphic Print,
11,SandyLiang,SL-26SS-011,,LEY CARDIGAN IN DARK NAVY,26SS,Knitwear,Navy,Solid,
12,SandyLiang,SL-26SS-012,,LEY CARDIGAN IN HEATHER GREEN,26SS,Knitwear,Green,Solid,
13,SandyLiang,SL-26SS-013,,LEY CARDIGAN IN CERULEAN,26SS,Knitwear,Blue,Solid,
14,SandyLiang,SL-26SS-014,,MAISY SWEATER IN HEATHER GREY,26SS,Knitwear,Grey,Solid,
15,SandyLiang,SL-26SS-015,,MAISY SWEATER IN DARK NAVY,26SS,Knitwear,Navy,Solid,
16,SandyLiang,SL-26SS-016,,TARO JEANS,26SS,Jeans,Navy,Solid,
17,SandyLiang,SL-26SS-017,,MUNG BEAN HOODIE,26SS,Hoodie,Grey,Solid,
18,SandyLiang,SL-26SS-018,,LUCIUS SWEATPANT,26SS,Sweatpant,Grey,Solid,
19,SandyLiang,SL-26SS-019,,ASTRA SKORT IN PINK TARTAN,26SS,Skirt,Pink,Plaid,
20,SandyLiang,SL-26SS-020,,FRANC SKORT IN PINK TARTAN,26SS,Skirt,Pink,Plaid,
21,SandyLiang,SL-26SS-021,,FRANC SKORT IN GREY,26SS,Skirt,Grey,Solid,
22,SandyLiang,SL-26SS-022,,PRINCETON TOP IN PINK,26SS,T-shirt,Pink,Monogram,
23,SandyLiang,SL-26SS-023,,DIXIE PANT,26SS,Jeans,White,Solid,
24,SimoneRocha,SR-26SS-001,,Sculpt Bandeau,26SS,Top ,Black,Solid,
25,SimoneRocha,SR-26SS-002,,Sheer Overlay Long Patchwork Flounce Skirt,26SS,Skirt,Pink,Floral,
26,SimoneRocha,SR-26SS-003,,Embellished Cropped Merino Silk Cardigan,26SS,Knitwear,Beige,Solid,
27,SimoneRocha,SR-26SS-004,,Embellished Cropped Merino Silk Cardigan,26SS,Knitwear,Black,Solid,
28,SimoneRocha,SR-26SS-005,,Petal Bow Sash Top,26SS,Top ,Pink,Solid,
29,SimoneRocha,SR-26SS-006,,Sheer Overlay Long Flounce Skirt,26SS,Skirt,Pink,Solid,
30,SimoneRocha,SR-26SS-007,,Pressed Rosette Tilted Neck Petal Hem Dress,26SS,Dress,Black,Solid,
31,SimoneRocha,SR-26SS-008,,Pressed Rosette Tilted Neck Petal Hem Dress,26SS,Dress,Beige,Solid,
32,SimoneRocha,SR-26SS-009,,Sheer Puff Sleeve Patchwork Flounce Dress,26SS,Dress,Pink,Floral,
33,SimoneRocha,SR-26SS-010,,Pressed Rosette Tilted Neck Peplum Top,26SS,Top ,Beige,Solid,
